review,sentiment
Increment is not good you have to switch in order to get a good hike in salary.,0
It depends on the team you are working with. I was working with a good team.,1
"Might not be good at hike system, compare to other world leaders in the same technology though one can try out being part of this facility.",0
Less Hike and Les salary,0
Onsite opportunity will be minimal,0
Very less or none onsite opportunity,0
"no increments , Variable pay out",0
"Depends on Project.
no learning.",0
Great company to learn and grow,1
Very political company .. and depressing environment.,0
"Good Working Culture, Supporting Colleague",1
No corns as such ..,0
Less pure development opertunity... More on support ... If you are in XYZ .. food is a nightmare,0
too much onsite for right candidates,0
"Good culture, good environment, new technology and good competition among other IT service providers",1
"Good work culture.
Better Life balance
Good for learning.
Good environment",1
The compensation/benefits/increments are not so satisfactory,0
Their is no negative points.,0
low hike and can go as low as 1%,0
Give the same job location as hometown,0
"Good work culture, great opportunities.",1
Good Place to work and learn...,1
"Overall structure is good, I am quit satisfied may be I got good project.",1
Good location and expansion plans,1
"1. Complete lack of vision/direction/strategy in the senior management
2. Integration with IGATE a total eye wash, IGATE employees still discriminated against with ref to small provisions such as Formal Wear, Shifts, what have you
3. Poor hike for top rated performers
4. Sub par benefits (eg. low insurance)
5. Too much red tape and bureaucracy at every level
6. Senior management has grown through tenure and not ability, therefore they have no ability, hence the cascading revenues propped up falsely by various lean/cost cutting measures
7. Compensation is a joke, Variable Pay is annual, and you have to be in the company as on date, that's a good 15-30% blocked depending on how much you signed for",0
I got support for most of my ideas and i was able to implement many of them successfully.,1
Work life balance is good. No role change certifications. Decent paymaster when compared with Indian mnc's. Flexible for employees and better place to work.,1
"Some teams which need improvement who are like labor contractors.
No employee value other than billing in some teams.",0
Client driven organization. No latest technologies use,0
"Work-life balance,
good work culture
Good learning opportunities/trainings,
Offer better package for experienced,
Good management team,
All updated software are used,
Arrange some funny events--team wise or project wise",1
No good hikes. No WFH. Very less onsite opportunity.,0
no choice in place of work,0
"Friendly environment, good work culture",1
"Nothing as such, all looks good",0
"Worst process.
Unexpected hike.
Politics.
there are so many cons.. do not have wish to write also..",0
Very good and flexible for women employee the best company to work with,1
"1. Salary on time .
2. Recruitment HR team good .
3. Good discount in motherhood hospital,indira nagar if u r XYZ employee.
4. Work and project is good . Career growth in terms of technology is good.",1
Salary hike is not satisfactory,0
good environment for us to work,1
"There are lot of cons to mention here. Bad office timings, Bad management especially house keeping 
3 months period",0
"1.if you work hard means they will give you more tasks as well as no appreciations.2.if you gave the result based on functionel specification document(fsd) in the sense they will not satisfy and ask you on different ways of results like is your application supports ....bla...bla...or not like.3. they didnot know the proper way of result and they kep on ask you to different results(i faced a one situation like this, when i am development these stupid vijayarajanramakrishnan asked me a one output when i show that output he replied me like a very slow progress.ok i agreed, another time he gave the one more task when i asked for review the task he told like i didnot told this result i wnat another way of result.4.
finally due to the help of some other consultants i completed my task again this povert waste and unsubjected fellow vijayarajan ramakrishnan chenge the output, at that time my frustation is in peaks because i developed the based on fsd only,i replied like why you want to confuse the client with critical code based on fsd this one is a simplest way like that said.6. consultants always help us and said like you have to speak .7. frankly speaking in the sense why i need to speak and convense the leads, by seeing the code itself its thier responsibelity to understand the code right, but here we need to explain and convense them(because they didnot have a any technical knowledge they just want the result they didnot consider how it came.5.in meeting these stupid lead always said like you are a technical consultant handle it anyway but actually that problem existed from its previous version onwards,if you tell this then they will realise and said that yes we canot do anything because it is existed from previous version onwards,leave the issue.7.if you are a silent means they will thought like take an advantage .",0
"13̬me moi,
Prime de la grande f̻te
formations
E-learning
Respect",1
"- Flexible work hours (varies from project to project)
- Good growth opportunities; ample amount of training and certification is available.
- Flexibility in dress code ( can afford to wear jeans/ casuals on weekdays)
- Supportive HR team since this",1
"less pay and less work.
Using developer as a support worker.
Trained so hard but then not even using that technology for 2 years.",0
Performance hike is tooo lessssssss,0
"good mgt 
flex time",1
"Good Company , Nice Salary",1
Good exposure as it is an MNC,1
"Bad increment
No Fun at work
Bad management
HR not supportive
90 days notice period
etc etc",0
The company should not trasfer the employees,0
Good work culture. Good compensation and benefits.,1
"Except office work , nothing to chill out here and dedicated to completely to work",0
"- Better Projects
- Better Growth
- Better parties",1
"1. Big brand
2. Diversified with expertise in delivery and consulting",1
Pressure might be high sometimes,0
"Not applicable, I didnt found any",0
nothing I can think of,0
"Flexibility, Work, Easy life,",1
"No place of innovation.
Hiring strategy could have been better.",0
"Good  environment
Good  learning",1
timing is very bad here,0
No cons I have faced,0
"Good environment , work life balance specially for women.",1
"Infrastructure is good.
salary on time.
provides insurance facility.
management is good.
thank",1
Good opportunity to learn and grow,1
"Some work Pressure , less Appraisals",0
Managment structure and low salary in financial services,0
People from Non - It background gets an opportunity to work on development project. All those from It background gets suppot project to start with. XYZ should take this into account seriously,0
"Lacks vision & inspiring leadership
Lacks transparency & open door approach
Lack of management, anti employee HR policies & degrading work culture
No monetary growth",0
Good work environment with nice cultural values,1
Good place to work,1
"1) 9.5 Hours
2) 3 months notice period
3) Non friendly atmosphere to work
4) HRs are not reachable
5) Hike is one area where we won't be knowing what's the difference after appraisal. 
6) After merger of IGATE and XYZ , IGATE folks got to see how hell would be.",0
"Open culture, Mature Processes, regular training programs and defined growth paths",1
not an employee centric company at all,0
"Less Pay, There's always someone criticizing about their manager not giving them good ratings",0
"Management politics,
some HR policies
Not much annual hikes
Rating based on I-Campus test",0
yet to receive my salary,1
"Excellent Company and consensus driven. Highly customer driven. High on ethics, Inclusive culture. Good career prospect and can get challenging assignments",1
i cant mention anything pros,1
"Pay hikes are very low
Mediocre benefits",0
"Bad HR policies
Too much micro management
Not employee friendly",0
poor work culture. improve it,0
"- freedom to stay on bench as long as you want
- good place for people with less IQ",1
Good Culture and Good People,1
"Managers are the Best
Work life is great
Flexibility",1
Good as a service based company. Average learning.,1
just like any other IT company,1
"Good Company,  good Infrastructure but location is not good.",1
"Slow career growth 
less salary hikes
appraisal process",0
"minimal hike, more working hours , complex system,",0
Good company with many project,1
"If only you are from Premier college, then you are differently treated and better compensation.",1
